Accuracy, Total Time, L1+L2+L3 Time, L4 Time, L5 Time, Result Time
0.9781, 0.47162, 0.1104, 0.02169, 0.25145, 0.08782
0.9804, 0.4729, 0.11071, 0.02258, 0.25144, 0.08794
0.9786, 0.47281, 0.11067, 0.02236, 0.2516, 0.08795
0.9777, 0.47274, 0.11055, 0.0225, 0.25129, 0.08807
0.9811, 0.47166, 0.11051, 0.02158, 0.25158, 0.08775
0.9792000000000001, 0.47257, 0.11006, 0.02275, 0.25139, 0.08814
0.9790000000000001, 0.47213, 0.11032, 0.02232, 0.25119, 0.08808
0.9793999999999999, 0.4716, 0.11058, 0.02163, 0.25113, 0.08804
0.9768000000000001, 0.47243, 0.11052, 0.02249, 0.25121, 0.08794
0.978, 0.47151, 0.11031, 0.02166, 0.25171, 0.0876
0.9788, 0.47182, 0.11056, 0.02185, 0.25138, 0.08781
0.9773999999999999, 0.47161, 0.11049, 0.02172, 0.25112, 0.08803
0.9793999999999999, 0.47121, 0.11018, 0.02139, 0.25152, 0.0877
0.9797, 0.47135, 0.11064, 0.02151, 0.25127, 0.08769
