Accuracy, Total Time, L1 Time, L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9784999999999999, 0.59645, 0.10965, 0.02254, 0.05114, 0.14244, 0.17993, 0.0904
0.9788, 0.59597, 0.10981, 0.02244, 0.05108, 0.14212, 0.17987, 0.0903
0.9786, 0.59568, 0.10972, 0.02301, 0.05078, 0.14184, 0.17977, 0.09021
0.9769, 0.59674, 0.10981, 0.02297, 0.05097, 0.14213, 0.18015, 0.09035
0.9793000000000001, 0.59452, 0.10965, 0.02236, 0.0504, 0.1421, 0.17944, 0.09019
0.9813, 0.59493, 0.10954, 0.02247, 0.0505, 0.14206, 0.17973, 0.0903
0.9792000000000001, 0.59461, 0.10963, 0.0224, 0.0502, 0.14203, 0.17981, 0.09019
0.9782, 0.59434, 0.10947, 0.02254, 0.05049, 0.14191, 0.17952, 0.09006
0.9784999999999999, 0.59537, 0.1098, 0.02249, 0.05056, 0.14215, 0.17983, 0.09018
0.9788, 0.5945, 0.1096, 0.02236, 0.05051, 0.14216, 0.17965, 0.08988
0.9792000000000001, 0.59515, 0.10973, 0.02213, 0.05072, 0.14209, 0.17986, 0.09027
0.9777, 0.59678, 0.10992, 0.02287, 0.05084, 0.14247, 0.17993, 0.09038
0.9789, 0.59619, 0.10979, 0.02284, 0.05079, 0.14229, 0.17975, 0.09037
0.978, 0.59595, 0.10961, 0.02294, 0.05098, 0.14196, 0.17977, 0.09035
0.9784999999999999, 0.59714, 0.11017, 0.02296, 0.05091, 0.14211, 0.18002, 0.09055
0.9775, 0.59575, 0.11012, 0.02291, 0.05066, 0.14196, 0.17983, 0.08993
0.9763, 0.59619, 0.1099, 0.02272, 0.0512, 0.14182, 0.17983, 0.09035
0.9791, 0.59591, 0.10974, 0.0227, 0.05093, 0.14207, 0.17981, 0.09031
0.9758, 0.59691, 0.11018, 0.0229, 0.0508, 0.14227, 0.17999, 0.09042
0.98, 0.59517, 0.10951, 0.02238, 0.05042, 0.14244, 0.17993, 0.09014
0.9795999999999999, 0.59578, 0.10963, 0.02255, 0.05035, 0.1424, 0.18003, 0.09047
0.9808, 0.59615, 0.11034, 0.02298, 0.05071, 0.1419, 0.17994, 0.08992
0.9806, 0.59537, 0.10969, 0.02243, 0.05049, 0.14232, 0.17974, 0.09036
0.9793000000000001, 0.59605, 0.11014, 0.02237, 0.05073, 0.14223, 0.17986, 0.0903
