Accuracy, Total Time, L1+L2+L3+L4 Time, L5 Time, Result Time
0.9781, 0.93524, 0.10998, 0.02187, 0.80321
0.978, 0.93508, 0.11018, 0.0216, 0.80312
0.978, 0.93508, 0.11003, 0.0218, 0.80306
0.9763, 0.93592, 0.1102, 0.02194, 0.8036
0.9788, 0.93547, 0.11029, 0.0219, 0.80311
0.9756999999999999, 0.93496, 0.11011, 0.02159, 0.80309
0.9801000000000001, 0.93495, 0.10991, 0.02153, 0.80333
0.9784999999999999, 0.93485, 0.11017, 0.02134, 0.80317
0.9808, 0.93579, 0.11004, 0.02192, 0.80365
0.9804, 0.93455, 0.11009, 0.02136, 0.80292
0.9789, 0.93546, 0.11009, 0.02213, 0.80306
0.98, 0.93455, 0.11018, 0.02101, 0.80313
0.9793000000000001, 0.93509, 0.1101, 0.02162, 0.8032
0.9782, 0.93656, 0.11003, 0.02203, 0.80381
0.9776, 0.93452, 0.11011, 0.0212, 0.80302
0.9793999999999999, 0.93458, 0.11002, 0.02123, 0.80298
0.9773999999999999, 0.93413, 0.10983, 0.02088, 0.80324
0.9795999999999999, 0.93539, 0.11039, 0.02185, 0.80298
0.9762000000000001, 0.93457, 0.10993, 0.02145, 0.80301
0.976, 0.93456, 0.11027, 0.02096, 0.80317
0.9762000000000001, 0.93448, 0.11001, 0.02117, 0.80311
0.9801000000000001, 0.93497, 0.11024, 0.0216, 0.80295
0.9769, 0.93462, 0.1102, 0.02112, 0.80313
0.9782, 0.93499, 0.11022, 0.02107, 0.80353
0.9784999999999999, 0.93446, 0.10997, 0.02149, 0.80281
0.9772, 0.93437, 0.10998, 0.02105, 0.80317
0.977, 0.93456, 0.11011, 0.02085, 0.80342
0.9793999999999999, 0.93462, 0.11002, 0.0214, 0.80302
0.9776, 0.93416, 0.11, 0.02078, 0.80321
0.9786, 0.93556, 0.11026, 0.02179, 0.80329
0.977, 0.93445, 0.11009, 0.02142, 0.80277
0.9771, 0.9352, 0.11037, 0.02166, 0.803
0.9771, 0.93531, 0.11037, 0.02154, 0.80323
0.9790000000000001, 0.93469, 0.11003, 0.02104, 0.80345
0.9773999999999999, 0.93447, 0.11012, 0.02084, 0.8033
0.9811, 0.93584, 0.11027, 0.02227, 0.80313
0.9798, 0.93435, 0.10984, 0.02148, 0.80284
