Accuracy, Total Time, L1+L2+L3 Time, L4 Time, L5 Time, Result Time
0.9739, 0.74432, 0.44027, 0.1347, 0.15609, 0.0129
0.9739, 0.74412, 0.44023, 0.13457, 0.15609, 0.01288
0.9739, 0.74351, 0.44035, 0.13421, 0.15581, 0.01278
0.9739, 0.74489, 0.44067, 0.13474, 0.15634, 0.01277
0.9739, 0.74477, 0.4406, 0.13484, 0.15613, 0.01283
0.9739, 0.74415, 0.4403, 0.13453, 0.15602, 0.01294
0.9739, 0.7438, 0.4404, 0.13415, 0.15604, 0.01285
0.9739, 0.74402, 0.44028, 0.13455, 0.156, 0.01284
0.9739, 0.7431, 0.4402, 0.13403, 0.15571, 0.0128
0.9739, 0.74413, 0.44035, 0.13451, 0.15599, 0.01291
0.9739, 0.74403, 0.44027, 0.13452, 0.15602, 0.01287
0.9739, 0.74281, 0.43999, 0.13409, 0.15555, 0.01282
0.9739, 0.74276, 0.4401, 0.13391, 0.15552, 0.01286
0.9739, 0.74332, 0.44025, 0.13428, 0.15558, 0.01285
0.9739, 0.74353, 0.44018, 0.13428, 0.15596, 0.01273
0.9739, 0.74173, 0.43963, 0.13393, 0.15536, 0.01246
0.9739, 0.74211, 0.43973, 0.13397, 0.15557, 0.01247
0.9739, 0.74193, 0.43983, 0.13362, 0.15564, 0.01249
0.9739, 0.74205, 0.44006, 0.13364, 0.15555, 0.01246
0.9739, 0.74209, 0.43981, 0.13409, 0.15545, 0.01239
0.9739, 0.74152, 0.43972, 0.13381, 0.15544, 0.01222
0.9739, 0.74195, 0.43963, 0.1339, 0.15557, 0.0125
0.9739, 0.74183, 0.43982, 0.13389, 0.15529, 0.01248
